orgName,siteName,siteId,monitorBrand,monitorType,monitorName,monitorId,assetType,assetModel,assetSn,dcSize,acSize,diagnoId,installDate,faultCode,faultName,faultStartdate,faultEnddate,
Ku-ring-gai Council,Ku-ring-gai Fitness and Aquatic Centre Main,ba1f3ee5-3fb8-4b8e-9521-013c79538a3d,sma,Proprietary,NaN,NaN,Inverter,NaN,NaN,15.94,NaN,987654358,NaN,L1F002,Generation Clipping,2022/12/24,2022/12/28,
Aldi,Aldi Cannington,0c02178e-b9b0-4543-a91e-b1c2066eea55,fronius,Proprietary,Aldi Cannington,092c3a54-c621-4a63-b8e0-80d14ffc261c,Inverter,FRONIUS Eco 25.0-3-S,28055943,25,25000,092c3a54-c621-4a63-b8e0-80d14ffc261c,2017-08-09 0:00:00,L1F002,Generation Clipping,2022/12/20,2022/12/24,
Ku-ring-gai Council,Ku-ring-gai Fitness and Aquatic Centre Plant Room,5402940,sma,Proprietary,KFAC Plant Room 25kW,5402942,Inverter,STP 25000TL-30,1901284016,26.1,25000,987654359,2020-07-15 0:00:00,L1F004,Recurring Underperformance,2022/06/08,2022/06/15,
Ku-ring-gai Council,Roseville Community Centre,4489810,sma,Proprietary,Roseville Community Centre,4489818,Inverter,STP 15000TL-30,1901278963,16,15000,987654361,2020-04-30 0:00:00,L1F004,Recurring Underperformance,2023/05/19,2023/05/24,
Ku-ring-gai Council,Thomas Carlyle Childrens Centre,d29b6097-6ac1-40ba-82da-0b7f665b37c0,sma," ""asset",Thomas Carlyle CC,915c8dc7-f66c-465e-9c6f-46f420921c60,Inverter,STP 5000TL-20,304998065,5.45,5000,915c8dc7-f66c-465e-9c6f-46f420921c60,2015-08-07 0:00:00,L1F002,Generation Clipping,2022/12/24,2022/12/28,
Inner West Council,Annandale CC,48053c86-8cb3-44e3-8647-0af3bde8bab9,wattwatchers,Third-Party,Annandale CC,DDC4108188093,Smart Meter,NaN,NaN,2.16,NaN,Z23P-Q4S3-Y75B-RGGS,NaN,L1F004,Recurring Underperformance,2022/06/06,2022/06/15,
Property NSW,PNSW - 130 Taylor St Armidale,5ecbb26d-4d8c-4b6c-bf9b-4bf97303a52a,fronius,Proprietary,PNSW - 130 Taylor St Armidale,d09d6f03-3ed2-46df-8b38-ad97003734d3,Inverter,Fronius Symo 10.0-3-M,32121150,11.27,10000,d09d6f03-3ed2-46df-8b38-ad97003734d3,2021-09-02 0:00:00,L1F002,Generation Clipping,2022/12/25,2022/12/29,
Inner West Council,Ashfield Aquatic Centre,8605e2ac-7140-477c-b3ee-b6532507340d,wattwatchers,Third-Party,Ashfield Aquatic Centre Solar,DD34108383948,Smart Meter,NaN,NaN,250,NaN,AQ5K-XBBN-WLBA-HZN2,NaN,L1F004,Recurring Underperformance,2022/11/17,2022/11/21,
Bathurst Regional Council,BVIC Expansion 2018,6d04bfc5-ac77-462a-b0d4-9c58e472c5e2,solaredge,Proprietary,NaN,NaN,Inverter,NaN,NaN,35.91,NaN,793032,NaN,L1F004,Recurring Underperformance,2023/03/16,2023/03/20,
Woolworths,BW VIC 392 Echuca,1166767,sungrow,Proprietary,BW VIC 392 Echuca,1166767_1_1_1,Inverter,SG110CX,A2161806297,99.9,110000,1166767_1_1_1,2022-09-08 9:50:18,L1F004,Recurring Underperformance,2023/04/20,2023/04/25,
Woolworths,BW VIC 393 Wangaratta,7603742,sma,Proprietary,BW VIC 393 Wangaratta,7603747,Inverter,STP 110-60,A2130101681,99.9,110000,7603747,2022-02-10 0:00:00,L1F011,Non-Zero Tripping,2022/11/25,2022/12/02,
Woolworths,BWS NSW 1876 Petersham,be6dbbfb-e9a7-4482-bdd1-390addbe1c79,sma,Proprietary,BWS NSW 1876 Petersham,a76318f0-260d-403d-b9b5-bb6f39040afa,Inverter,STP10.0-3AV-40,3004217943,10.3,10000,a76318f0-260d-403d-b9b5-bb6f39040afa,2019-12-19 0:00:00,L1F002,Generation Clipping,2022/11/20,2022/11/24,
Woolworths,BWS NSW 1888 Kempsey,1177474,sungrow,Proprietary,BWS NSW 1888 Kempsey,1177474_1_1_1,Inverter,SG30CX,A2172410721,30.36,30000,1177474_1_1_1,2022-11-02 13:31:24,L1F011,Non-Zero Tripping,2022/11/19,2022/11/24,
Woolworths,BWS SA 5557 Eastwood,1139335,sungrow,Proprietary,BWS SA 5557 Eastwood,1139335_1_2_1,Inverter,SG20RT,A2152204096,20,20000,1139335_1_2_1,2022-04-01 12:34:08,L1F002,Generation Clipping,2023/01/04,2023/01/12,
Woolworths,BWS WA 4144 Albany Hardie Rd,77050b09-1507-4e3a-aa86-3d7ffaf24d3a,sma,Proprietary,BWS WA 4144 Albany Hardie Rd,437d284d-6a30-4a8f-90fc-56d1ce8a02da,Inverter,STP 25000TL-30,1901361911,29.4,25000,437d284d-6a30-4a8f-90fc-56d1ce8a02da,2020-06-27 0:00:00,L1F002,Generation Clipping,2022/12/19,2022/12/24,
Woolworths,BWS WA 4758 Merredin,00f2625f-62d3-4189-9c08-ada83dcd2b94,sma,Proprietary,BWS WA 4758 Merredin,121a1b52-265e-4909-a506-1551c8b42f83,Inverter,STP 15000TL-30,1901319998,15.41,15000,121a1b52-265e-4909-a506-1551c8b42f83,2019-07-19 0:00:00,L1F004,Recurring Underperformance,2023/03/13,2023/03/20,
Inner West Council,Balmain Depot,d122a439-d614-4b6d-bf38-198288b81888,wattwatchers,Third-Party,Balmain depot.,DD94108188512,Smart Meter,NaN,NaN,13,NaN,7DHI-9YU5-U3WD-48XE,NaN,L1F004,Recurring Underperformance,2022/06/08,2022/06/15,
Inner West Council,Balmain Depot,d122a439-d614-4b6d-bf38-198288b81888,wattwatchers,Third-Party,Balmain depot.,DD94108188512,Smart Meter,NaN,NaN,13,NaN,7DHI-9YU5-U3WD-48XE,NaN,L1F011,Non-Zero Tripping,2022/12/02,2022/12/06,
Inner West Council,Balmain Occasional Childcare,b31c9116-cffa-457b-b40c-7644d72cb3be,wattwatchers,Third-Party,Balmain Occassional Childcare,DD04108193688,Smart Meter,NaN,NaN,5.92,NaN,QCE4-RI42-LLQJ-A5YH,NaN,L1F002,Generation Clipping,2022/11/22,2022/11/26,
Inner West Council,Balmain Occasional Childcare,b31c9116-cffa-457b-b40c-7644d72cb3be,wattwatchers,Third-Party,Balmain Occassional Childcare,DD04108193688,Smart Meter,NaN,NaN,5.92,NaN,QCE4-RI42-LLQJ-A5YH,NaN,L1F004,Recurring Underperformance,2023/05/19,2023/05/24,
Inner West Council,Balmain Townhall-Library,43ade769-b555-4aea-b95d-c07bc65ff138,wattwatchers,Third-Party,Balmain Townhall/Library,DD44108187155,Smart Meter,NaN,NaN,13,NaN,WHX2-R9OL-9NA5-DMC8,NaN,L1F004,Recurring Underperformance,2022/06/08,2022/06/15,
Inner West Council,Balmain Townhall-Library,43ade769-b555-4aea-b95d-c07bc65ff138,wattwatchers,Third-Party,Balmain Townhall/Library,DD44108187155,Smart Meter,NaN,NaN,13,NaN,WHX2-R9OL-9NA5-DMC8,NaN,L1F011,Non-Zero Tripping,2022/02/13,2022/02/17,
Property NSW,Bathurst - 140 William Street,23119063,fimer,Proprietary,Bathurst - 140 William Street,23119233,Inverter,PVS-50-TL,132210-3P74-2619,68.4,50000,23119233,2020-05-19 7:00:00,L1F011,Non-Zero Tripping,2022/12/13,2022/12/18,
Property NSW,Bathurst - 346 Panorama Avenue,22121188,fimer,Proprietary,Bathurst - 346 Panorama Avenue,22131936,Inverter,PVS-100-TL-OUTD,120875-3P80-3518,95.76,100000,22131936,2019-07-17 7:00:00,L1F011,Non-Zero Tripping,2022/12/13,2022/12/18,
Bathurst Regional Council,Bathurst Rail Museum,aac7e922-2d0a-4921-9e8f-ddaca10cec2e,solarAnalytics,Third-Party,Bathurst Rail Museam,291475,Smart Meter,NaN,NaN,48.88,NaN,291475,NaN,L1F011,Non-Zero Tripping,2022/12/13,2022/12/18,
